City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
178,cheyenne,US,2/25/2022 4:13,41.14,-104.8203,13.91,74,40,9.22,scattered clouds,0,0
179,popondetta,PG,2/25/2022 4:17,-8.7537,148.2534,89.42,60,89,7.34,overcast clouds,0,0
180,kaitangata,NZ,2/25/2022 4:17,-46.2817,169.8464,64.92,73,0,7.25,clear sky,0,0
181,berlevag,NO,2/25/2022 4:17,70.8578,29.0864,28.4,89,92,14.05,light snow,0,0
182,tanete,ID,2/25/2022 4:17,-3.9443,119.7848,83.77,69,100,7.67,overcast clouds,0,0
183,solenzo,BF,2/25/2022 4:17,12.1833,-4.0833,77.25,10,2,4.52,clear sky,0,0
184,waingapu,ID,2/25/2022 4:17,-9.6567,120.2641,85.87,67,92,9.71,overcast clouds,0,0
185,sogne,NO,2/25/2022 4:17,58.0833,7.8167,37.69,82,21,11.27,few clouds,0,0
186,bluff,NZ,2/25/2022 4:17,-46.6,168.3333,61.07,71,4,2.3,clear sky,0,0
187,qaanaaq,GL,2/25/2022 4:15,77.484,-69.3632,-12.48,54,99,3.98,overcast clouds,0,0
188,cidreira,BR,2/25/2022 4:17,-30.1811,-50.2056,75.52,83,95,17.63,light rain,0,0
189,nikolskoye,RU,2/25/2022 4:17,59.7035,30.7861,34.88,86,100,13.65,overcast clouds,0,0
190,broken hill,AU,2/25/2022 4:17,-31.95,141.4333,90.77,30,7,18.75,clear sky,0,0
191,port alfred,ZA,2/25/2022 4:14,-33.5906,26.891,72.55,87,14,20.04,few clouds,0,0
192,taltal,CL,2/25/2022 4:17,-25.4,-70.4833,66.49,83,7,3.15,clear sky,0,0
193,samarai,PG,2/25/2022 4:17,-10.6167,150.6667,84.45,72,62,14.88,broken clouds,0,0
194,matara,LK,2/25/2022 4:17,5.9485,80.5353,83.82,64,6,3.98,clear sky,0,0
195,belmonte,BR,2/25/2022 4:17,-15.8631,-38.8828,81.1,86,7,3.06,clear sky,0,0
196,antofagasta,CL,2/25/2022 4:12,-23.65,-70.4,63.68,85,27,3.02,scattered clouds,0,0
197,yumen,CN,2/25/2022 4:17,40.2833,97.2,37,23,0,17.31,clear sky,0,0
198,clyde river,CA,2/25/2022 4:17,70.4692,-68.5914,-14.57,70,100,20.71,haze,0,0
199,qaqortoq,GL,2/25/2022 4:17,60.7167,-46.0333,32.5,86,100,10.69,light snow,0,0
200,maniwaki,CA,2/25/2022 4:17,46.3834,-75.966,3.74,85,100,0,overcast clouds,0,0
201,north bend,US,2/25/2022 4:17,43.4065,-124.2243,39.13,91,0,5.75,clear sky,0,0
202,le port,RE,2/25/2022 4:17,-20.9373,55.2919,82.4,84,100,2.19,overcast clouds,0,0
203,sidney,AU,2/25/2022 4:14,-33.8679,151.2073,75.27,91,75,42.99,shower rain,0,0
204,varzea da palma,BR,2/25/2022 4:17,-17.5981,-44.7308,70.59,86,89,1.48,overcast clouds,0,0
205,geraldton,AU,2/25/2022 4:17,-28.7667,114.6,82.81,61,16,14.97,few clouds,0,0
206,camana,PE,2/25/2022 4:17,-16.6228,-72.7111,71.89,90,100,9.04,overcast clouds,0,0
207,novo aripuana,BR,2/25/2022 4:17,-5.1206,-60.3797,74.32,98,100,2.51,moderate rain,0,0
208,lorengau,PG,2/25/2022 4:17,-2.0226,147.2712,83.16,74,100,7.31,overcast clouds,0,0
209,fairbanks,US,2/25/2022 4:13,64.8378,-147.7164,29.1,85,75,0,broken clouds,0,0
210,boueni,YT,2/25/2022 4:17,-12.9025,45.0761,78.78,75,100,6.58,light rain,0,0
211,mackay,AU,2/25/2022 4:15,-21.15,149.2,85.6,68,87,12.95,overcast clouds,0,0
212,alexandria,EG,2/25/2022 4:13,31.2156,29.9553,56.86,64,75,26.42,broken clouds,0,0
213,svatove,UA,2/25/2022 4:17,49.4103,38.1503,31.33,92,100,12.57,light snow,0,0
